,REGIAO,ESPÉCIE,FASE,ADITIVO,AREA,ABA_ESP,ABB_ESP,ABC_ESP,ABD_ESP,ABE_ESP,ABF_ESP,ABG_ESP,ABH_ESP,ABI_ESP,ABL_ESP,ABM_ESP
5942,SÃO CARLOS,BULL24867515,5d,C,132.81,39.9403277874348,25.495,26.648,15.77054723491433,3387.471,28.699,31.173,22.158,146.812652555004,15.76670970228037,12.654
5946,GOIAS,BULL24867515,>5d,C,53.44,137.704343629344,25.93,24.61,29.5106150675676,5221.188,28.62,31.26,23.262478,151.390392769963,29.5219778313846,12.57
5947,ASSIS,BULL24867515,5d,E,117.543434,25.7142590982969,26.54,26.24,13.99405327289237,1459.45,29.86,33.03,28.110516,157.467372544603,13.99497723742517,12.59
5948,MATO G. DO SUL,BULL24867515,3d,E,316.91,73.5529664491161,27.74,25.5,21.68843691909088,18780.115,31.08,33.28,24.266048,167.870628637893,21.59429957495086,12.47
5949,GOIAS,BULL24867515,4d,E,123.38227,62.2179117017457,28.76,26.16,20.41652200121258,5605.385,32.56,34.42,29.134205,177.122828519225,20.29212362252095,12.41
5951,S. J. RIO PRETO,BULL24867515,>5d,C,17.47,78.3327239488117,27.62,25.29,22.3611714808044,374.84,30.87,33.34,24.29,167.051845236852,22.28501124785,12.5
5954,GOIAS,BULL24867515,3d,I,284.54,67.0277977544581,28.86,25.21,21.27768670140163,15009.276,32.33,34.78,26.713112,178.788258645386,21.17799056455656,12.48
5955,GOIAS,BULL24867515,1,D,36.47,106.8742950551696,27.63,24.87,26.828852317123,2333.574,30.74,33.51000000000001,24.118072,167.523331436572,26.7551664346763,12.55
5956,GOIAS,BULL24867515,4d,E,202.48,46.1437578748425,27.1,26.13,17.15570743910122,6515.703,30.51,33.19,25.115293,162.25043692209,17.13011453885715,12.53
5957,PIRACICABA,BULL24867515,4d,I,19.16,60.9212290502793,27.4622965,26.894581,19.56434548719832,362.276,31.186674,33.715042,25.211373,165.421385156499,19.50556272445221,12.6090236
5965,GOIAS,SCS12,3d,C,17.44,81.1397058823529,28.27,26.22,23.2490301470588,388.12,31.97,35.15,24.0,173.790133014114,23.1861222112626,12.68
5966,RIB. PRETO,SCS12,5d,I,17.93,67.72512647554811,26.15,24.6,19.88510539629005,342.45,28.89,32.04,25.27,154.039279450194,19.9151568118578,12.63
5967,MINAS GERAIS,SCS12,4d,I,268.5,99.7420662768031,27.96,25.05,26.0036337777778,22517.84,31.19,33.26000000000001,26.3,169.866405426872,25.8515246078452,12.55
5968,GOIAS,SCS12,2d,I,184.87,102.9697460519465,26.61,24.62,25.2906798981894,15737.94,29.44,32.255508,23.143678,157.989660576263,25.2806423488325,12.58
5969,RIB. PRETO,SCS12,5d,B,40.48,71.8169943820225,27.5841,24.526,21.32194022148877,1715.588,30.5702,33.72,22.97,167.538955314257,21.30387281621853,
5970,RIB. PRETO,SCS12,>5d,A,26.06,96.1588904694168,27.912,25.103,25.3913626514936,1195.274,31.156,34.15,23.27,170.385814454194,25.3295744105599,
5971,RIB. PRETO,SCS12,4d,A,26.7,78.0647619047619,27.7189,25.075,22.3846538590476,983.152,30.9164,34.07,24.17,168.72987518304,22.3543218873306,
5972,PIRACICABA,SCS12,4d,D,53.81,66.8710834728534,26.764,26.48,20.10116676393207,2306.16,30.21,32.82,23.61,158.956086853839,20.06363970860091,12.64
5973,ASSIS,SCS12,4d,B,37.55,74.8199608610568,25.48,25.17,20.46813072407045,1617.05,28.25,30.39,23.9,146.466139516706,20.44715762157689,12.61
5975,PIRACICABA,SCS117,>5d,D,43.57,31.5416534684827,28.11,26.49,15.14816037377257,628.93,31.87,34.2,22.7,171.400247514169,15.11494439971226,12.58
5976,GOIAS,SCS117,>5d,E,53.924545,14.29082987066407,26.58,25.93,12.33400299514282,108.042,29.81,32.04,23.9197855,156.86856832755,12.33186924364509,12.48
5977,ASSIS,PT35931092,2d,C,36.12,129.335820895522,26.79,24.56,29.3539679104478,2842.14,29.63,31.48,28.2,158.570001427393,29.197911436141,12.54
5979,SÃO CARLOS,PT35963346,3d,I,39.34,67.0746159473299,25.07,24.48,19.19825230431602,1517.74,27.56,30.629423,23.373318,143.848882606171,19.26152657261945,12.65
5980,PIRACICABA,SCS114,>5d,D,15.68,44.4320652173913,26.53,27.16,16.71237907608696,131.35,30.14,32.75,22.7,156.655658234181,16.69148174191562,12.64
5981,PIRACICABA,SCS114,>5d,C,29.18,43.8451688009313,26.79,27.01,16.70990046565774,559.1,30.41,32.65,22.9,158.736221078569,16.67283972945781,12.58
5983,RIB. PRETO,SCS114,>5d,B,114.0,65.2285294117647,27.21,25.77,20.09605932352941,5441.31,30.52,33.22,25.9,163.360301717891,20.05668627176432,12.65
5984,RIB. PRETO,SCS114,5d,A,18.15,72.0065040650407,27.062383,25.524,21.03840946718699,381.04,30.266718,32.9,22.78,161.927439136998,20.99662148603541,12.6431606
5985,RIB. PRETO,SCS114,>5d,C,27.12,73.1164021164021,26.506884,24.656,20.86608556,936.08,29.327513,31.84,21.57,156.668354790357,20.84160934488582,12.6453664
5986,PARANÁ,SCS125,5d,C,13.23,28.0666666666667,25.159602,27.0693865,14.114309388,31.762,28.401209,30.785807,24.220018,143.493195638659,14.11265734326112,12.6463901
5987,MINAS GERAIS,SCS125,4d,A,69.68892,90.4745146901693,24.58,26.19,21.8720939480233,4539.11,27.44,30.43,23.0,138.888333412683,21.95750038440466,12.78
5988,PIRACICABA,PS321801816,3d,B,30.2,77.8892857142857,26.004719,31.250896,21.22760931539286,1211.185,30.83719,33.922583,25.764049,151.606631208175,21.19858121128435,12.694719
5989,PIRACICABA,PS321801816,>5d,C,13.2,123.525,26.52,25.17,28.19343,145.83,29.5,32.38,24.0,157.132645913518,28.1859183355051,12.7
5990,MATO GROSSO,PS321801816,3d,B,40.949183,128.332989431861,28.64,25.79,31.3578094414616,3379.745,32.28,34.34,26.579162,176.229542124435,31.1053135883612,12.43
5991,RIB. PRETO,PS321801816,>5d,I,93.73,60.9322158326196,27.75904,25.8288,19.71124746594886,4011.23,31.214497,33.59,21.92,168.200386496406,19.64323102518076,12.58839583
5992,RIB. PRETO,PS321801816,3d,B,41.23999999999999,89.6997264021888,26.959697,24.6984,23.6236436395964,2283.94,29.881596,32.56,23.55,161.121456074131,23.586696337656,12.65783507
5993,MINAS GERAIS,PS321801816,5d,A,24.369563,64.88084954981841,28.03,25.88,20.47680018283589,666.113,31.56,33.7,25.0,170.512732367484,20.38228795205553,12.56
5994,MINAS GERAIS,PS321801816,>5d,A,80.79,66.516208751272,25.96,24.79,19.61046274167757,3762.17,28.71,31.22,23.2,151.493129389109,19.60463656114488,12.67
5995,PIRACICABA,PS321801816,1/½,C,12.71,104.2676056338028,25.64,27.48,24.5853014084507,77.51,29.13,32.29,30.0,148.805459022771,24.6227121416644,12.75
5996,RIB. PRETO,PS321801816,1,C,64.08,83.9700460829493,28.0913,25.13,23.5809160253456,3760.2,31.38,34.0,22.3,171.691352147988,23.4929939731392,
5997,S. J. RIO PRETO,PS321801816,>5d,I,19.73,59.3186287192756,26.9,26.63,19.05047567917206,377.773,30.43,34.26000000000001,28.0,161.438393823963,19.07121987376098,12.8
5998,PARANÁ,SCS19004M,2d,E,52.6,81.824802955665,26.7127,24.02,22.2731137844581,2846.887,29.38,31.47,27.679202,158.193120088342,22.2079058036424,12.579039
6002,SÃO CARLOS,BULL24855156,>5d,B,24.71,50.4558615263572,27.718,27.01,18.04449231471283,500.774,31.57,33.65,25.93,167.361769129522,17.97457068013476,12.54
6005,MINAS GERAIS,BULL24855156,3d,I,25.14,69.3292237442922,27.1461,25.15,20.68314155753425,765.306,30.247406,32.771608,26.0,162.649236371978,20.63660377887591,12.6278
6006,MATO G. DO SUL,BULL24855156,>5d,C,18.76,79.5868343195266,27.26,25.94,22.3137509171598,468.887,30.64,33.31,24.992783,163.777338494778,22.2581498303052,12.52
6007,GOIAS,BULL24855156,5d,C,48.23,54.6438310792161,28.5,25.57,19.03623212807066,1556.986,32.03,34.08,22.863378,174.912864131989,18.94722865867584,12.43
6008,MATO G. DO SUL,BULL24855156,3d,C,25.16,69.80326747720369,28.44,26.28,21.50285717325228,772.691,32.21,33.98,23.199817,173.970714621627,21.36243654074771,12.39
6009,GOIAS,BULL24855156,1/½,E,127.44085,79.2877928393632,29.21,24.84,23.5802291476544,7779.76,32.62,34.63,30.582418,181.697341168134,23.4185595379121,12.43
6010,RIB. PRETO,BULL24855156,5d,B,55.78,57.6000456829603,29.0847,24.75,19.79063100479671,2008.37,32.44,35.04,23.9,181.126989201576,19.71219843381341,
6011,RIB. PRETO,BULL24855156,5d,D,46.98,83.343910806175,27.1337,25.39,22.7969734296741,2507.61,30.31,32.6,23.2,162.241108914611,22.7187882738248,
6013,RIB. PRETO,BULL24855156,5d,A,35.28,59.6323024054983,27.608481,25.4824,19.43467887082474,1120.88,30.915146,33.35,22.42,166.881316386616,19.37735369908894,12.6021732
6014,RIB. PRETO,BULL24855156,>5d,C,118.0,85.2730754716981,27.7,25.38,23.5038728490566,7778.946,30.99,33.76000000000001,25.1,168.114829624772,23.4390136933472,12.65
6015,RIB. PRETO,BULL24855156,3d,C,22.97,96.9772105742935,27.9798,25.32,25.579188295351,944.2,31.31,33.63,23.4,170.294454234852,25.4514211702579,
6018,S. J. RIO PRETO,BULL24855453,>5d,E,21.24,63.5638528138528,26.15,26.52,19.29628517316017,488.45,29.46,32.17,26.95,153.267695562207,19.28430666132181,12.54
6019,MATO G. DO SUL,BULL24855453,>5d,B,12.65149117,62.7159598187647,26.42,25.42,19.31324140586587,45.041,29.46,31.48,29.233135,155.171031858992,19.2610562989717,12.47
6020,RIB. PRETO,BULL24855453,2d,C,27.46,104.9404915912031,27.9191,24.31,26.7952897968952,1448.86,30.9,33.61,23.4,170.267559073118,26.7094647431954,
6021,S. J. RIO PRETO,BULL24855453,3d,C,15.94,88.0880710659899,26.5,26.64,23.0327703045685,311.787,29.93,32.76000000000001,28.0,156.677922267417,23.008264031163,12.68
6022,SÃO CARLOS,BULL24855453,1/½,I,58.16,119.466204506066,26.66,24.6,27.7545455805893,4972.64,29.49,33.14,29.42,159.35835131831,27.8360427184502,12.67
